category	name	google_place_id	invStored	invName
attractions	Bay Indies - Bay House Pool	ChIJQwg-91Jaw4gRU5HdBO-u8CU	hotels	Bay Indies
attractions	Bobby Jones Golf Club	ChIJR0-AwqdAw4gR6McIzffF4BA	food	Bobby Jones Golf Club
attractions	Bowlero	ChIJObkCSmIWw4gRQDAhWKrjxxU	food	Bowlero Bradenton
attractions	Bowlero	ChIJVaN0nNZDw4gRZr-D4qxm-oo	food	Bowlero Gulf Gate
attractions	Camelot East Village	ChIJHdkh4ZJGw4gRttusUBlyz54	hotels	Camelot East Village
attractions	Camelot Lakes	ChIJB8jiRJVGw4gRk_HiIAZQzQU	hotels	Camelot Lakes Village
attractions	Cheetah Lounge	ChIJKSXbG5c_w4gRleoXwkGx-5I	nightlife	Cheetah Lounge
attractions	Concession Golf Club	ChIJBRD-bPE2w4gRjabAT6CgdWA	food	The Bistro at The Concession Golf Club
attractions	CoolToday Park	ChIJw39QsBpXw4gRt1QugbY5miM	food	CoolToday Park
attractions	DICK'S Sporting Goods	ChIJ4VEiphYWw4gR7idoOy6VPfk	shopping	DICK'S Sporting Goods
attractions	DICK'S Sporting Goods	ChIJYUTNe7k5w4gRdhcqxrbHBNg	shopping	DICK'S Sporting Goods
attractions	DICK'S Sporting Goods	ChIJ5yxVbRGr3IgR4tIpRvLYRW0	shopping	DICK'S Sporting Goods
attractions	Five Below	ChIJhU944YZUw4gRK6AJBNoWLrU	shopping	Five Below
attractions	Keys Huka Dive	ChIJw5GR_mev3IgR71o87IQ58xQ	shopping	Keys Huka Dive
attractions	Lake Manatee fish camp	ChIJD9-FOtUzw4gRUHyJorxDf9w	shopping	Lake Manatee Fish Camp
attractions	Livingston's	ChIJwXQNJk1Bw4gRJRP61Kgtuv8	food	Livingston's Amusements
attractions	Moccasin Wallow Golf Club	ChIJgTrJSr0jw4gRhhdNk-hyIQw	food	Moccasin Wallow Golf Club/ The MOC Bar and Grill
attractions	Myakka City	ChIJGdxqnk40w4gRQXdoAR4ThK8	hotels	Charming 3-bedroom house in Serene Myakka City near Freedom Factory Terranova
attractions	Ray's Canoe Hideaway	ChIJKxTlAQcww4gRNUXvlac64vc	hotels	Ray's Canoe Hideaway
attractions	Ridgewood Estates	ChIJ6WsFqrQ8w4gRyGj69jd_Vy4	hotels	Ridgewood Estates
attractions	Ritz-Carlton Members Golf Club	ChIJawGoo-c5w4gRnAcykDdzjfw	hotels	The Ritz-Carlton Members Golf Club
attractions	The Pink Gator Cafe	ChIJj8RObptLw4gRsZS5R4OBd2k	food	Pink Gator Cafe
attractions	Venetian River Club	ChIJx-9K4hhQw4gRGlGNe2-FJPY	food	Venetian River Club
attractions	Walmart Garden Center	ChIJ86vBfWVDw4gR32VlLTO-rfE	shopping	Walmart Garden Center
food	ABC Fine Wine & Spirits	ChIJO_SEvB0Xw4gR-jLEdAo6AMQ	shopping	ABC Fine Wine & Spirits
food	ABC Fine Wine & Spirits	ChIJt4ErbC9aw4gRCrN8mv_CAHw	shopping	ABC Fine Wine & Spirits
food	ABC Fine Wine & Spirits	ChIJjz5a-kur3IgRdGyv6pkXHrM	shopping	ABC Fine Wine & Spirits
food	ABC Fine Wine & Spirits Lakewood Ranch	ChIJl0-NCxU7w4gRHhGBEDumh5A	shopping	ABC Fine Wine & Spirits
food	Coquina Beach Cafe	ChIJ4azy4NsTw4gRggI1e2ak_Rs	attractions	Coquina Beach
food	Dakin Dairy Farm	ChIJB_GKfW81w4gRsCQHi5hjasA	shopping	Dakin Dairy Farm Market & Cafe
food	Detwiler's Farm Market	ChIJ1S54gcw9w4gRFyFsgYHVIk0	shopping	Detwiler's Farm Market
food	Detwilers Farm Market	ChIJtXqbvWtHw4gROfKsKwXeMJQ	shopping	Detwiler's Farm Market
food	Detwilers Farm Market	ChIJy5Lz3RAVw4gRYzH917BRjxo	shopping	Detwiler's Farm Market
food	Detwiler’s Farm Market	ChIJR6Dvk-BBw4gRuwoeUcPq3xE	shopping	Detwiler's Farm Market
food	Marina Jack	ChIJx-U-VRFAw4gRUUDwK8ht44s	beach	Freedom Boat Club - Sarasota: Marina Jack
food	Myakka Outpost	ChIJEUM6S7JOw4gRSeCj4mQQrQ0	attractions	Myakka Outpost Inc
food	Target	ChIJ093q6VpHw4gRjB4OzJwOZRc	shopping	Target
food	Target	ChIJQX7siuc4w4gR22-CSpBo7x8	shopping	Target
food	Total Wine & More	ChIJ9UNoVd44w4gRt-M-ID7R4S0	shopping	Total Wine & More
food	Total Wine & More	ChIJ5RkhsOpDw4gR6yLaGtQ8nX0	shopping	Total Wine & More
food	Walmart Neighborhood Market	ChIJMzw7oR9Bw4gRv5lesxDVWGw	shopping	Walmart Neighborhood Market
food	Walmart Neighborhood Market	ChIJbQNDy7es3IgRW5CMcoFasOA	shopping	Walmart Neighborhood Market
food	Walmart Neighborhood Market	ChIJJa2F9rpGw4gRz3TnWxkF6jo	shopping	Walmart Neighborhood Market
