category	name	address	google_place_id
attractions	Gulf Harbor Marina	100 Circuit Rd	ChIJb-6_LXtbw4gR_ltoVVOlhvE
attractions	Gulf Harbor Marina	100 Circuit Rd	ChIJR6V7PkBbw4gREn4OHGp_E8A
attractions	Nokomis Beach Drum Circle	100 Casey Key Rd	ChIJVashkXxbw4gR9GKkxkLv_Y0
attractions	Nokomis Beach Drum Circle	100 Casey Key Rd	ChIJPfHzt4Nbw4gReInyfaTUn2Y
beaches	Coquina Beach	2650 Gulf Dr S	ChIJzzGPjSkRw4gRfecn6X09ufk
beaches	Coquina Beach	2650 Gulf Dr S	ChIJPbX5AxsTw4gROkfgzEmV-5M
beaches	Turtle Beach	8862 Midnight Pass Rd	ChIJ9RsHDcVDw4gRg3ftHUNMwco
beaches	Turtle Beach	8862 Midnight Pass Rd	ChIJp6kyPa1Dw4gR5BhsSYE8pdo
beaches	Turtle Beach	8862 Midnight Pass Rd	ChIJmy-zP61Dw4gR3lJSoG7CBZE
food	Coquina Beach Cafe	2650 Gulf Dr S	ChIJ4azy4NsTw4gRggI1e2ak_Rs
food	Coquina Beach Cafe	2650 Gulf Dr S	ChIJ_SArr7sRw4gRHxAqkNcKTX4
food	Marina Jack	2 Marina Plz	ChIJx-U-VRFAw4gRUUDwK8ht44s
food	Marina Jack	2 Marina Plz	ChIJx-U-VRFAw4gR7HuX82hYW8w
food	Waffle House	1385 Grand Venture Dr	ChIJcX87JKWt3IgRLci5Ik1YAcU
food	Waffle House	1385 Grand Venture Dr	ChIJVeSEIgCKR4gRAUs3NiSzCeU
other	MarineMax	1485 S Tamiami _r	ChIJ829SSTNaw4gRU6BwyrnEc5Y
other	MarineMax	1485 S Tamiami _r	ChIJp4n8qOZbw4gReS_BOP-Ki3E
shopping	HomeGoods	450 No. Venice By-Pass	ChIJcSfMo4tbw4gRhw5k1LmPofI
shopping	HomeGoods	450 No. Venice By-Pass	ChIJlYpDFJNZw4gRBwABfaZByO4
shopping	Walgreens	1009 N Sumter Blvd	ChIJMUo-nbas3IgRd5TgDwolZLw
shopping	Walgreens	1009 N Sumter Blvd	ChIJd9KVJrSs3IgRvx9vbKZxbg0
