pick,placeId,source,outcome,reason,needsPermissionFrom
"Starbucks: a free handcrafted drink — if you set it up early","ChIJCTw8qAE9w4gRV4bsIMbQ2H8","","gap","google-only","Starbucks"
"Sephora at UTC: a free beauty gift set, all month","ChIJVcT9hOc4w4gREnfUoBV42RA","","gap","google-only","Sephora"
"AMC Bradenton 20: free large popcorn on the house","ChIJ1wH4N3QWw4gREDvfx8VmUSY","","gap","google-only","AMC Bradenton 20"
"Nothing Bundt Cakes: a free Bundtlet, no purchase","ChIJ2RTKm1tHw4gRK4xtJw-jqWI","","gap","google-only","Nothing Bundt Cakes"
"Baskin-Robbins: a free scoop, on the day itself","ChIJ16W70NY9w4gRG9cBamnCpn0","","gap","google-only","Baskin-Robbins"
"Chick-fil-A: the reward grows with your tier","ChIJ_1KKw-oXw4gRGao51ByvSIc","","gap","google-only","Chick-fil-A"
"The Cheesecake Factory at UTC: free slice with any purchase","ChIJZ0W_vt04w4gRlbOczIeB2k0","","gap","google-only","The Cheesecake Factory"
"Crumbl: a free cookie — but only at Silver status","ChIJ_5OG3Z45w4gRbGmfLDXwT6A","","gap","google-only","Crumbl Cookies"
"IHOP: free birthday pancakes","ChIJ6yU9i-IVw4gRo01we-1UEZU","","gap","google-only","IHOP"
"Panera: a birthday treat from MyPanera","ChIJz80-WhEWw4gRzOuwAzFVxag","","gap","google-only","Panera Bread"
"Ulta Beauty: birthday gift plus double points — with a purchase","ChIJmyxjyZgXw4gRB3WmGve_TxY","","gap","google-only","Ulta Beauty (Bradenton store)"
"Dairy Queen: a birthday 'surprise' — don't count the Blizzard yet","ChIJQd5TVAgWw4gRtK1Eo_WdA9U","","gap","google-only","Dairy Queen"
"Firehouse Subs: a birthday reward we couldn't fully verify","ChIJ2SaIlRsWw4gRzGAwvP0eDaE","","gap","google-only","Firehouse Subs"
"Auntie Anne's at Ellenton Premium Outlets: a free pretzel, no purchase","ChIJHaxvqjIjw4gRAr21gNtVWBw","","gap","google-only","Auntie Anne's"
"Culver's: a free Create Your Own Dish — twice a year","ChIJyUVHMkMRw4gRWxSSGDprdYQ","","gap","google-only","Culver's"
"Chili's: a free dessert that expires fast","ChIJObBe1x8Ww4gRZocRz7u1X2g","","gap","google-only","Chili's"
"Duck Donuts: a free donut for keeping the app warm","ChIJbQc50hEWw4gRekS45lcFEFU","","gap","google-only","Duck Donuts"
"Jersey Mike's: 72 Shore Points — with a purchase gate","ChIJafhu4hYWw4gRyNie7mo17V4","","gap","google-only","Jersey Mike's"
"Moe's: the birthday burrito","ChIJiVUwo8Y9w4gRyfRSxgrLTps","","gap","google-only","Moe's Southwest Grill"
"Olive Garden: free dessert at the table","ChIJ82ZQGhEWw4gRyW9_GZld-8I","","gap","google-only","Olive Garden"
"Smoothie King: $2 off — free only at the top tier","ChIJ3TqagqwXw4gRSzSibPN094s","","gap","google-only","Smoothie King"
"Cold Stone: a two-week birthday window","ChIJpR7FkLoWw4gRGsi3ogvZxw4","","gap","google-only","Cold Stone Creamery"
"First Watch: a birthday treat with brunch","ChIJYfzA4SUlw4gRnPt72baj7pU","","gap","google-only","First Watch"
"Cooper's Hawk at UTC: a $15 birthday reward, at the table","ChIJg3dcWgZHw4gRXN7pMNzP_pA","","gap","google-only","Cooper's Hawk Winery & Restaurant"
"Wahlburgers in Sarasota: a free shake, show the email","ChIJz5Lpb5c_w4gRivPISVkQG3A","","gap","google-only","Wahlburgers"
"Toast birthday credits: real dollars at local restaurants (Turmeric, Wheat + Water, Riviera French Café)","ChIJ32YG_ao5w4gRpzcR49e5sMo","","gap","google-only","Turmeric Indian Bar & Grill, Wheat + Water Italian Kitchen, Riviera French Café"
