pick,placeId,source,outcome,reason,needsPermissionFrom
"ÔMO by Jônt, Winter Park",ChIJO3PrEmdx54gRW1c11w1Yxlo,,gap,google-only,ÔMO by Jônt
"Kaya, Mills 50",ChIJ3YuEdVp754gRoWwBx528kNc,,gap,google-only,Kaya
"AVA MediterrAegean, Park Avenue",,,gap,no-verified-source,AVA MediterrAegean
"The Pinery, Ivanhoe Village",,,gap,no-verified-source,The Pinery
"The Ravenous Pig, Winter Park",,,gap,no-verified-source,The Ravenous Pig
"Kabooki Sushi, East Colonial",,,gap,no-verified-source,Kabooki Sushi
"Maxine's on Shine, Colonialtown",,,gap,no-verified-source,Maxine's on Shine
"Otto's High Dive, Milk District",,commons:Otto’s_Rum_Bar.jpg,photographed / hero,,
"Osteria Ester, Thornton Park",,,gap,no-verified-source,Osteria Ester
"The Chapman, Park Avenue",,,gap,no-verified-source,The Chapman
