pick,placeId,source,outcome,reason,needsPermissionFrom
COTE Miami,ChIJT8zbHlex2YgRbmlvb54NTIY,commons,photographed,,
Versailles Restaurant Cuban Cuisine,ChIJt9yvFgu32YgRrk-vKGEQB6g,commons,photographed,,
Sunny’s Steakhouse,ChIJ0dm17kix2YgRoDAy8rxLOjU,,gap,google-only,Sunny's Steakhouse
Boia De,ChIJte0b2xux2YgRr8f-xaLb0jw,,gap,google-only,Boia De
Barra Callao,ChIJv7BTO4-t2YgRqNxbUEldJjE,,gap,no-verified-source,Barra Callao
Walrus Rodeo,ChIJsSLy8Nex2YgRgbI_3id8b_E,,gap,google-only,Walrus Rodeo
B & M Market,ChIJ9ZlVHnmx2YgRIhh-NLFLt5w,,gap,google-only,B & M Market
Chug's Diner,ChIJoZfKYcy32YgR4ROg8Mdxtnw,,gap,google-only,Chug's Diner
La Natural,ChIJaeBbjZmx2YgRI0Yb0-WQtPU,,gap,google-only,La Natural
Over Under,ChIJzwEW8bK32YgRoeQcKaBkwrs,,gap,google-only,Over Under
