pick,placeId,source,outcome,reason,needsPermissionFrom
(hero),,commons,photographed,,
Jack & Odd Dog,ChIJdd8VlMN-54gRoaU0d_zYhfk,,gap,not-a-place,Universal Orlando Resort
Deathbringer Tempura Shrimp,,,gap,not-a-place,Universal Orlando Resort
CarnEVIL Smash Tacos,,,gap,not-a-place,Universal Orlando Resort
Death by Cheesestick,,,gap,not-a-place,Universal Orlando Resort
Burnt Sando,,,gap,not-a-place,Universal Orlando Resort
Rigatoni Ritual Pie,,,gap,not-a-place,Universal Orlando Resort
Elote with spicy cheese-puff crunch,,,gap,not-a-place,Universal Orlando Resort
Meat Grinder Red Velvet,,,gap,not-a-place,Universal Orlando Resort
Walking Taco,,,gap,not-a-place,Universal Orlando Resort
Jack and Oddfellow Shakes,,,gap,not-a-place,Universal Orlando Resort
Ultimate Sin-Amon,,,gap,not-a-place,Universal Orlando Resort
Jack and Oddfellow Cocktail Cans,,,gap,not-a-place,Universal Orlando Resort
Frostbite,,,gap,not-a-place,Universal Orlando Resort
Keyholder Bar: Frank's Fizz and Bleeding Eye,,,gap,not-a-place,Universal Orlando Resort
Twisted Tater Chips,,,gap,not-a-place,Universal Orlando Resort
Fried Pickles,,,gap,not-a-place,Universal Orlando Resort
Booo! Pumpkin Cream Ale,ChIJOcKapod_3YgR90H_S_UKiMA,,gap,not-a-place,Raglan Road Irish Pub
Raglan Ghostly Guinness Pie,,,gap,not-a-place,Raglan Road Irish Pub
Samhain Sangria,,,gap,not-a-place,Raglan Road Irish Pub
Proper Little Pumpkin,,,gap,not-a-place,Raglan Road Irish Pub
Black Barrel Whiskey Ribs,,,gap,not-a-place,Raglan Road Irish Pub
Bandaged Bangers,,,gap,not-a-place,Raglan Road Irish Pub
Irish Pumpkin Shake,,,gap,not-a-place,Raglan Road Irish Pub
