pick,placeId,source,outcome,reason,needsPermissionFrom
Otto’s High Dive,ChIJOwkr93R754gRwukRdzlSJgM,commons,photographed,,
Kaya,ChIJ3YuEdVp754gRoWwBx528kNc,,gap,google-only,Kaya
DOMU,ChIJYb7ys7N654gRxvFvaVDAB0c,,gap,no-verified-source,DOMU
Zaru,ChIJm9xjdgx754gRvYolbCqZPBQ,,gap,no-verified-source,Zaru
Coro Restaurant,ChIJ91E5TZp754gR6UAe4qltcFE,,gap,google-only,Coro Restaurant
TORI TORI,ChIJS6okKNZ754gRnwUlHBXAhU8,,gap,no-verified-source,TORI TORI
Sticky Rice,ChIJjXi_isN654gRGkLnctUt860,,gap,no-verified-source,Sticky Rice
Mills Market,ChIJG1opWwB754gRGs--XkuAER0,,gap,no-verified-source,Mills Market
Kabooki Sushi - East Colonial,ChIJpegta8x654gRmUI2JGqYuus,,gap,google-only,Kabooki Sushi
Kappo Tsan,ChIJuclcIkWB3YgRi8GT12wxByM,,gap,no-verified-source,Kappo Tsan
