pick,placeId,source,outcome,reason,needsPermissionFrom
Lucky 8,ChIJaeoTfN9Bw4gR4KQRHwdosqs,,gap,google-only,Lucky 8
Focaccia Sandwich + Bakery,ChIJk-o9uSlBw4gR6tDfhvqtdRk,,gap,google-only,Focaccia Sandwich + Bakery
Indigenous Restaurant,ChIJZUZzwm5Aw4gR1qnftvzg0lg,,gap,google-only,Indigenous Restaurant
Sage Restaurant,ChIJtcnZQU9Bw4gROmYnVLnl0hE,,gap,google-only,Sage Restaurant
Florence and the Spice Boys,ChIJWerCJQA5w4gRkgxRabmvuBI,,gap,google-only,Florence and the Spice Boys
Zōtō,ChIJJYDKlHM5w4gRpCS0kh1pDG8,,gap,google-only,Zōtō
Star Fish Company,ChIJmcZ22HARw4gR5Th1Pxcl9II,,gap,google-only,Star Fish Company
Blu Kouzina UTC,ChIJUTI3PKk5w4gRtaS2weXk70A,,gap,google-only,Blu Kouzina
Columbia Restaurant,ChIJaTQEjpFqw4gRnHJU2Klfw0o,,gap,google-only,Columbia Restaurant
Dry Dock Waterfront Grill,ChIJ38CBz8Vqw4gRg0oFYUGBU_s,,gap,google-only,Dry Dock Waterfront Grill
