pick,placeId,source,outcome,reason,needsPermissionFrom
Doc Ford's Rum Bar and Grille St Pete Pier,ChIJIyCdCXfhwogRH8MxhxaUGgs,commons,photographed,,
Elliott Aster,ChIJnZwugRXhwogRpN-HY445tJM,,gap,google-only,Elliott Aster
in between days,ChIJPRvtBsfjwogRvhNpBGje2hA,,gap,google-only,in between days
Il Ritorno,ChIJ3SpvbYPhwogRS17En4FSzVI,,gap,no-verified-source,Il Ritorno
Sushi Sho Rexley,ChIJM8CbE53hwogR_Py8YaLt6As,,gap,no-verified-source,Sushi Sho Rexley
Fortu,ChIJdaUo-PPhwogRii2HqysdgjI,,gap,google-only,Fortu
Wild Child,ChIJG00H7u7jwogRoWLHFmmGmbY,,gap,google-only,Wild Child
Bodega on Central,ChIJRfPBKCriwogR4yaS_ccI5so,,gap,no-verified-source,Bodega on Central
Juno & The Peacock,ChIJK6b43nXhwogRCV39bMyGJGo,,gap,google-only,Juno & The Peacock
Mullet's Fish Camp,ChIJh6exAYbhwogRd4RP1WCELps,,gap,google-only,Mullet's Fish Camp
