pick,placeId,source,outcome,reason,needsPermissionFrom
Oxford Exchange,ChIJ11hsiYXEwogRjDBv39F04J8,commons,photographed,,
Bern's Steak House,ChIJKQXHdmfDwogRJFCLuT7eJ6I,commons,photographed,,
Columbia Restaurant,ChIJz8e7TVLEwogRBeybvscHnD4,commons,photographed,,
La Segunda Bakery and Cafe,ChIJXTeLe0XEwogR-wheRdFeKEY,commons,photographed,,
Rocca,ChIJ1WZIXhjFwogR1M-_3DXnG6Y,,gap,google-only,Rocca
Ulele,ChIJ3Vyq7WTEwogRA-WDC7Mze2E,,gap,google-only,Ulele
Psomi,ChIJ_RvwD3nDwogRCeHQydPsx_k,,gap,google-only,Psomi
On Swann,ChIJ5crCip3EwogRQnhkbw_Ir6U,,gap,google-only,On Swann
OLIVIA,ChIJh4m6DH7DwogRcwo9evYZIhg,,gap,google-only,OLIVIA
Lucky Tigre,ChIJKZW0N5XDwogRoKTCdhDprnU,,gap,google-only,Lucky Tigre
