pick,placeId,source,outcome,reason,needsPermissionFrom
Driving the World's Most Famous Beach,,commons,photographed,,
Daytona International Speedway,,commons,photographed,,
The boardwalk and pier at night,,commons,photographed,,
Ponce Inlet Lighthouse,,commons,photographed,,
Free concerts at the Bandshell,,commons,photographed,,
A Tortugas game at Jackie Robinson Ballpark,,commons,photographed,,
The Fairchild Oak and the content circuit,,commons,photographed,,
Daytona Lagoon and the revamped Ocean Center district,,commons,photographed,,
The Coke Zero Sugar 400 under the lights,,,gap,not-a-place,
Crabby Joe's on Sunglow Pier,,flickr,photographed,,
