pick,placeId,source,outcome,reason,needsPermissionFrom
"Florida Railroad Museum",ChIJ______8sw4gRMudh58gsGMU,commons,used,,
"Fort Hamer Park",ChIJu9V8cNY6w4gR14jQbFoNfsE,,gap,google-only,"Manatee County Parks and Natural Resources"
"Gamble Creek Farms",,,gap,google-only,"Gamble Creek Farms"
"Lake Manatee State Park",ChIJU17a-Akxw4gR3ppLxjXbveg,commons,used,,
"Bunker Hill Community Park",,,gap,google-only,"Manatee County Parks and Natural Resources"
"Parrish Community Park",ChIJJSK6DAolw4gR2-tcgDhSPVI,,gap,google-only,"Manatee County Parks and Natural Resources"
"Ferraro's Italian Grille",ChIJVaGvf6gkw4gROjdp7yQzLh4,,gap,google-only,"Ferraro's Italian Grille"
"Good Liquid Brewing Company",ChIJay8TEmElw4gRmgRP3SXl7eM,,gap,google-only,"Good Liquid Brewing Company"
"Ellenton Premium Outlets",ChIJKYwJVy0jw4gRkXnEq-Or48M,,gap,google-only,"Ellenton Premium Outlets / Simon Property Group"
"Coquina Beach and Anna Maria Island",ChIJ5eLMVXE9w4gR15l0tMZGkMY,commons,used,,
