pick,placeId,source,outcome,reason,needsPermissionFrom
"Siesta Key",ChIJjfu2YPBBw4gRo41o9hwHfmg,commons,used,,
"Turtle Beach",ChIJp6kyPa1Dw4gR5BhsSYE8pdo,commons,used,,
"Ted Sperling Nature Park at South Lido",,commons,used,,
"The Ringling",ChIJ6y2dx9g_w4gRWoZIRhLk-JI,commons,used,,
"Ca' d'Zan",ChIJpXGK53VC24gRWMneFVtK6hY,commons,used,,
"Tibbals Learning Center and Circus Museum",ChIJKRTWX9g_w4gRk2YMbJtyfi4,commons,used,,
"Marie Selby Botanical Gardens",ChIJPTvxtmpAw4gReToYD5mTNwE,commons,used,,
"Mote Science Education Aquarium",ChIJRyOEfAo5w4gR664aD_YYBLU,,gap,google-only,"Mote Marine Laboratory & Aquarium (Mote SEA)"
"Myakka River State Park",ChIJz6wmd_5Kw4gR1PNqMrYU_RY,commons,used,,
"The Bay Park",ChIJLZ2vzRxBw4gRMOtW0ArhBhw,,gap,google-only,"The Bay Sarasota / City of Sarasota"
"Bayfront Park and Unconditional Surrender",ChIJ7wa-IxRAw4gRnwt6LGL2yeM,commons,used,,
"The Legacy Trail",ChIJRzUAPopDw4gR8YbL_V5iSWo,commons,used,,
"The Celery Fields",ChIJ7-I5X4tHw4gRAK6g4JEha7M,flickr,photographed,,
"Pinecraft: Yoder's and Der Dutchman",ChIJIwZqEutAw4gR-1cOUgiln24,flickr,photographed,,""
"Lido Key and St. Armands Circle",ChIJ3VLBF5Jqw4gRkT1TfU3ULd8,commons,used,,
"Sarasota Jungle Gardens",ChIJ_37IauQ_w4gRz03lc0QInIE,commons,used,,
"Owen's Fish Camp",ChIJ5ab4TmtAw4gROiDA30SjNWY,,gap,people-privacy,"Owen's Fish Camp"
