pick,placeId,source,outcome,reason,needsPermissionFrom
Busch Gardens Tampa Bay,ChIJhRo4DU_GwogRUgjhMAj-pag,commons,photographed,,
ZooTampa at Lowry Park,ChIJBQ5SjLHGwogRL4X19g4J5tI,commons,photographed,,
The Florida Aquarium,ChIJCXAq5_DEwogRjTPE2xlsZtE,commons,photographed,,
The Tampa Riverwalk,ChIJL_dfJozEwogRF_55TezQpYo,commons,photographed,,
Ybor City,ChIJF06M0-_FwogRirItJy_x26M,commons,photographed,,
J.C. Newman's El Reloj cigar factory,ChIJsxtTEU_EwogREc-soNYgMu0,commons,photographed,,
Parque Amigos de Jose Marti,ChIJyyWN_lrEwogRP7gRxR2d19U,none,gap,public-art,
A real Tampa Cuban sandwich,,,gap,not-a-place,
Columbia Restaurant,ChIJz8e7TVLEwogRBeybvscHnD4,commons,photographed,,
Tampa Bay History Center,ChIJJboiAY3EwogRJCLbox7T-70,commons,photographed,,
Ybor City Museum State Park,ChIJJb8wlVHEwogRywROz8FsuZM,commons,photographed,,
Tampa Theatre,ChIJ98cKiInEwogRfyDonUPi2bc,commons,photographed,,
The TECO Line Streetcar,,commons,photographed,,
Bayshore Boulevard,,commons,photographed,,
Ballast Point Park,ChIJCZgnUKHcwogRbPR7qCWl-UA,commons,photographed,,
Lettuce Lake Park,ChIJlR-NjATIwogRoSE1MsVTpmA,commons,photographed,,
Armature Works,ChIJYWj9iZ_PwogRQebjN7pJ_Nw,,gap,no-verified-source,Armature Works
Sparkman Wharf and Water Street,ChIJy66Xe53FwogRcpjZQHX4cCI,commons,photographed,,
Bern's Steak House and the Harry Waugh Dessert Room,ChIJKQXHdmfDwogRJFCLuT7eJ6I,commons,photographed,,
A Tampa Bay Lightning game,,commons,photographed,,
Gasparilla Pirate Fest,,,gap,not-a-place,
A Gulf day trip to Shell Key Preserve,ChIJ5_NkHLUcw4gRndvLQGe_Ox8,,gap,no-verified-source,
