pick,placeId,source,outcome,reason,needsPermissionFrom
The Venetian Pool,,commons,photographed,,
South Pointe Park Pier and South Beach,,commons,photographed,,
Versace Mansion and the Ocean Drive icons,,commons,photographed,,
Little Havana's Calle Ocho,,commons,photographed,,
Wynwood Walls and the arts district,,,gap,public-art,Wynwood Walls / the individual muralists
Balloon Museum at Mana Wynwood,,,gap,no-verified-source,Balloon Museum (Mana Wynwood)
Miami Spice month,,,gap,not-a-place,
Inter Miami at Miami Freedom Park,,,gap,no-verified-source,Inter Miami CF (Miami Freedom Park)
Joia Beach Club on Watson Island,,,gap,no-verified-source,Joia Beach
The Coral Gables restaurant boom,,,gap,not-a-place,
