pick,placeId,source,outcome,reason,needsPermissionFrom
Airboat the Everglades headwaters,ChIJE1158xWa3YgRyxYmba83M0o,,gap,google-only,Boggy Creek Airboat Adventures
Winter Park scenic boat tour,ChIJ4XkjoBtw54gRGiqFxtWvbM8,flickr,photographed,,
Kayak a natural spring,ChIJw5hmHut154gRI1LE7BjQiEg,,gap,google-only,Kelly Park - Rock Springs
Watch a rocket launch,ChIJdeCS1uW54IgRqG67_UFPInI,commons:Playalinda_Beach_Atlas_V_Launch.jpg,photographed,,
Lake Eola and Thornton Park,ChIJu3hNU-N654gR0x0I9_3iNvc,commons:Lake-eola-park-orlando-florida.jpg,photographed,,
ICON Park's wheel at night,ChIJU7bqHVV-54gRJAwZAp5qCpk,commons:The_Wheel_at_ICON_Park_(purple_green).jpg,photographed,,
Kennedy Space Center Visitor Complex,ChIJiTHKxDOu4IgRgAU6btoqIsU,commons:Atlantis_Kennedy_Space_Center_Visitor_Complex_4.jpg,photographed,,
Blue Spring State Park in manatee season,ChIJyYEUav8P54gRatuv_zQzm20,commons:Manatees_in_Blue_Spring_State_Park_(8501212290).jpg,photographed,,
Swim at Wekiwa Springs,ChIJd_yTxUh054gR9cGD0gI_yHw,commons:Wekiwa_Springs_State_Park_springs01.jpg,photographed,,
Harry P. Leu Gardens,ChIJCRCYGrx654gR3G9qoVbWlpY,commons:Floral_clock_at_Leu_Gardens.jpg,photographed,,
Day-trip to Mount Dora,ChIJGSMzu2Oi54gR-rlDDL6V3Qs,commons:Mount_Dora_Lighthouse.jpg,photographed,,
East End Market,ChIJz4eUs7N654gRiMJs2630XVc,,gap,google-only,East End Market
