pick,placeId,source,outcome,reason,needsPermissionFrom
Universal Epic Universe,,commons,photographed,,
"Universal Celestial Goodnight, the new night show",,,gap,not-a-place,
Magic Kingdom's reopened classics,,commons,photographed,,
Rock 'n' Roller Coaster Starring The Muppets,,,gap,no-verified-source,Disney's Hollywood Studios
The after-dark water park parties,,,gap,not-a-place,
SeaWorld's Electric Ocean nights,,commons,photographed,,
EPCOT's Soarin' Across America,,commons,photographed,,
ICON Park's new entertainment wave,,commons,photographed,,
Level99 at Disney Springs,,,gap,no-verified-source,Level99 Disney Springs
Eola Food Hall and the Mills 50 crawl,,,gap,not-a-place,
