pick,placeId,source,outcome,reason,needsPermissionFrom
Shell Island,,commons,photographed,,
The 27 miles of sugar-white beach,,commons,photographed,,
St. Andrews State Park and the Jetties,,commons,photographed,,
Pier Park and the SkyWheel,,commons,photographed,,
Pirates Voyage Dinner and Show,ChIJsR0yJpiNk4gRzx0d79JwKns,,gap,google-only,Pirates Voyage Dinner and Show (Panama City Beach)
Topgolf and the new Pier Park City Center,ChIJK0m8N2eNk4gR3Q6Fe6gYs_w,,gap,google-only,Topgolf Panama City Beach
A dolphin cruise from the marinas,,,gap,not-a-place,
Shipwreck Island Waterpark,,,gap,no-verified-source,Shipwreck Island Waterpark
The TikTok food crawl: Boondocks and Coco Loco,,,gap,no-verified-source,Boondocks or Coco Loco (either one)
Free concerts at Aaron Bessant Park,,,gap,no-verified-source,City of Panama City Beach (public agency)
