pick,placeId,source,outcome,reason,needsPermissionFrom
Castillo de San Marcos,,commons,photographed,,
St. George Street and the old town,,commons,photographed,,
A show at the number-one amphitheater in America,,commons,photographed,,
The Alligator Farm's zip line,,commons,photographed,,
Anastasia State Park,,commons,photographed,,
Ghost tours after dark,,,gap,not-a-place,
The Drunken Horse,ChIJD8rK2Y0n5IgRnagsN_AKOXQ,,gap,google-only,The Drunken Horse (St. Augustine)
A food and wine tour through the old city,,,gap,not-a-place,
The crab-boil giants: Outback Crab Shack and Crabby's,,,gap,google-only,Outback Crab Shack and Crabby's Beachside
Founder's Day and the America 250 season,,,gap,not-a-place,
