pick,placeId,source,outcome,reason,needsPermissionFrom
Busch Gardens and the new Lions and Hyena Ridge,,commons,photographed,,
ZooTampa's Florida Waters expansion,ChIJBQ5SjLHGwogRL4X19g4J5tI,commons,photographed,,
The Riverwalk with the Pirate Water Taxi,ChIJL_dfJozEwogRF_55TezQpYo,commons,photographed,,
Ybor City,ChIJF06M0-_FwogRirItJy_x26M,commons,photographed,,
The Florida Aquarium,ChIJCXAq5_DEwogRjTPE2xlsZtE,commons,photographed,,
Armature Works at golden hour,ChIJYWj9iZ_PwogRQebjN7pJ_Nw,,gap,no-verified-source,Armature Works
The soft-serve margarita crawl,,,gap,not-a-place,
Sparkman Wharf,ChIJy66Xe53FwogRcpjZQHX4cCI,,gap,no-verified-source,
Adventure Island,,,gap,no-verified-source,Adventure Island
Roasted's fruit-shaped ice cream,,,gap,no-verified-source,Roasted
