root_cause,place_id,name,cities,surfaces_chips,fixed_by
eligibility_passed_api_omitted,ChIJj8znahURw4gRW9PpNfjwuNk,"""The NEST"" at Robinson Preserve",Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJgXnW94DhwogRvByd2uvhm6c,11 Chicks Yummy Creations,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:all; food:cafes; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJx_5uzWnjwogRHW5qIWEKT8c,15th St Farm,Anna Maria Island; Bradenton; Cortez,attractions:family; attractions:outdoors; family:adults; family:all; family:toddlers,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJkUBQMlQ_w4gR2LjIBvEVF00,17th Street Paw Park,Anna Maria Island,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJLwJA4jfjwogRPZ6UOkUNl10,1Chick 1Bro Cafe Bistro,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:all; food:cafes; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJk1gwhXjhwogR1B9iexia2RY,AHI Sushi,Anna Maria Island,food:dinner; food:lunch,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJsQbQTcv7wogRRjwhXD0kIOY,AJ's Breakfast Club - Puerto Rican Cuisine | Breakfast & Lunch,Anna Maria Island,food:all; food:delivery; food:dessert; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJud3vwlV154gRTLoGZfAwy4Y,AMI Escapes Boat Tours,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJKRUH57_8wogRbPDZhzPRvkU,Abercrombie Park,Anna Maria Island; Palmetto; Tampa,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJQeXio7X3ZqER-C6M25blOaI,Aire MedSpa Lakewood Ranch,Anna Maria Island; Venice,attractions:spa,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ00ABGgDhwogRp-lX0zWW9f8,Aji Ceviche Bar St. Petersburg – Peruvian Restaurant,Anna Maria Island; Parrish,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJvzGxVZjhwogRuEs149pZIzE,Albert Whitted Park,Anna Maria Island; Cortez,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJPdkwjZjhwogRLLDnciI8pLM,Albert Whitted Playground,Anna Maria Island; Cortez,attractions:family; attractions:outdoors; family:all; family:toddlers,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJg1nPV9rZwogRM2WjZTd-y2Q,Allegra Wellness Spa Ruskin,Anna Maria Island,attractions:spa,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJIxFRzuDiwogRC1hNJar_B-Q,Allens Aquatic Adventures,Anna Maria Island; Longboat Key; Parrish; Tampa,attractions:all; attractions:tours; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJNVP20s8cw4gREb7SQXSOTXs,Alsace French Bistro,Anna Maria Island; Cortez; Palmetto,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJt-Ne5S0Xw4gR6tagd7WZA_4,Altitude Trampoline Park,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ8UrJfl0jw4gRiQDiFPPWabo,American Honey Creamery and Coffee Co.,Anna Maria Island; Bradenton; Cortez; Ellenton; Lakewood Ranch; Longboat Key; Palmetto; Parrish; Sarasota,food:all; food:delivery; food:dessert; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJsyHYtvkRw4gReXtbVjrynHo,Anna Maria Island,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ4w4w8aQRw4gRyDJicJkaYRY,Anna Maria Island Adventures Boat Tours,Anna Maria Island; Lakewood Ranch,attractions:all; attractions:marinas; attractions:outdoors; attractions:tours; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJYecWexPjwogRRytxXfBwczs,Annex Coffee,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:cafes,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJGXL97ET7wogRLxdM7LmgXYk,Apple Butter Cafe,Anna Maria Island,food:cafes,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJK-PZyBElw4gR74Z1Z58fLA0,Aqua Tequila,Anna Maria Island; Bradenton; Cortez; Ellenton; Lakewood Ranch; Longboat Key; Palmetto,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJJ1O7nANrw4gRH8y1qHMjpRs,Arcade Monsters,Anna Maria Island; Parrish,attractions:all; attractions:family; family:adults; family:all; family:kids; family:rainy,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJRQe77vDhwogRKWwrznjwqf0,Arctic Bath & Coffee,Anna Maria Island; Bradenton; Ellenton; Palmetto; Parrish,attractions:all; attractions:spa,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJhRwCTPZAw4gROrb2GkpgkGQ,Arlington Park Sarasota,Anna Maria Island,attractions:family; attractions:outdoors; family:all; family:toddlers,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJsb-nieBDw4gRLNAhqZcc-LE,Armageddon Laser Tag,Anna Maria Island; Parrish,family:all; family:kids,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJU2_jjA5Aw4gRYa-h4V9y_RA,Art Center Sarasota,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJV4bAoBLhwogRMUpJVFBsZDQ,Bacchus Wine Bistro,Anna Maria Island; Parrish,food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ8W_zEkDhwogRzOhHc7D_J1Y,Bad Mother,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:cafes,#1495 exhaustive ordered read
