start_date,end_date,date_text,event_name,city,status,unconfirmed,date_notes,notes,source_url,source_domain,source_page
2026-09-18,2026-09-18,9/18,Oakland Park Latin Fest,Oakland Park,active,False,,,https://www.oaklandparkfl.gov/601/Latin-Fest,www.oaklandparkfl.gov,https://festivalguidesandreviews.com/florida-festivals/
2026-09-18,2026-09-20,9/18-9/20,South Gulf Coast Florida Vintage Market Days,Fort Myers,active,False,,,https://vintagemarketdays.com/market/south-gulf-coast-florida/,vintagemarketdays.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-18,2026-09-20,9/18-9/20,Everybody’s Favorite Barbecue and Hot Sauce Festival: Jacksonville,Jacksonville,active,False,,,https://everybodysfavoritefestival.com/cities/,everybodysfavoritefestival.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-18,2026-09-20,9/18-9/20,Wicked Barley’s Oktoberfest,Jacksonville,active,False,,,https://www.facebook.com/events/2162612230981479,www.facebook.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-18,2026-09-20,9/18-9/20,Raprager Family Farm’s Fall Festival I,Odessa,active,False,,,https://rapragerfarm.com/fall-festival,rapragerfarm.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-18,2026-09-20,9/18-9/20,Gulf Coast Jazz Festival: Fall Edition,Pensacola,active,False,,,https://www.gulfcoastsummerfestjazzedition.com/event-information,www.gulfcoastsummerfestjazzedition.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-18,2026-09-20,9/18-9/20,Mega Night Market Mid Autumn Moon Festival,Tampa,active,False,,,https://www.facebook.com/events/1284259827148018/,www.facebook.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-19,2026-09-19,9/19,Gail Baker Community Center Fall Festival,Atlantic Beach,active,False,,,https://coab.us/Calendar.aspx?EID=10140&month=5&year=2026&day=7&calType=0,coab.us,https://festivalguidesandreviews.com/florida-festivals/
2026-09-19,2026-09-19,9/19,Clermont Sips and Salsa,Clermont,active,False,,,https://www.clermontfl.gov/254/Events,www.clermontfl.gov,https://festivalguidesandreviews.com/florida-festivals/
2026-09-19,2026-09-19,9/19,Fabulous 50’s Festival,Newberry,active,False,,,https://www.facebook.com/events/2002639217252905/,www.facebook.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-19,2026-09-19,9/19,Key Lime and Tropical Festival,Punta Gorda,active,False,,,https://www.fishermensvillage.com/events,www.fishermensvillage.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-19,2026-09-19,9/19,Deviant Wolfe Oktoberfest,Sanford,active,False,,,https://www.facebook.com/events/873075262293069,www.facebook.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-19,2026-09-19,9/19,Williston Fiesta,Williston,active,False,,,https://www.facebook.com/events/1294119272429922/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22groups_highlight_units%22%7D]%2C%22ref_notif_type%22%3Anull%7D,www.facebook.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-19,2026-09-19,9/19,DogFest Winter Park,Winter Park,active,False,,,https://www.facebook.com/events/1605553004206747/,www.facebook.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-19,2026-09-20,9/19-9/20,Fall Festival at Amber Brooke Farms I,Williston,active,False,,,https://amberbrookefarms.com/,amberbrookefarms.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-24,2026-09-26,9/24-9/26,City of Oviedo Oktoberfest,Oviedo,active,False,,,https://www.eventbrite.com/e/oviedo-oktoberfest-2026-tickets-1988317980604,www.eventbrite.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-24,2026-09-27,9/24-9/27,St. Augustine Songwriters Festival,St. Augustine,active,False,,,https://www.facebook.com/staugustinesongwritersfestival/,www.facebook.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-25,2026-09-25,9/25,Leesburg Fiesta en la Plaza,Leesburg,active,False,,,https://www.facebook.com/events/1744896233619604,www.facebook.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-25,2026-09-25,9/25,Main Street Marianna Fall Festival,Marianna,active,False,,,https://www.facebook.com/events/2347117706049657/,www.facebook.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-25,2026-09-26,9/25-9/26,High Springs Fall Festival,High Springs,active,False,,,https://highsprings.com/fall-festival-september-2026/,highsprings.com,https://festivalguidesandreviews.com/florida-festivals/
2026-09-25,2026-09-26,9/25-9/26,Oktoberfest at Bluewater Bay,Niceville,active,False,,,https://www.midbayrotaryclub.org/events,www.midbayrotaryclub.org,https://festivalguidesandreviews.com/florida-festivals/
2026-09-25,2026-09-26,9/25-9/26,Smokin’ in the Pines BBQ Festival,Perry,active,False,,,http://www.smokininthepinesbbq.com/,www.smokininthepinesbbq.com,https://festivalguidesandreviews.com/florida-festivals/
